suburb,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population,std_median_income,boxcox_number_of_units,boxcox_number_of_houses,sqrt_population,boxcox_median_house_price
MOOROOLBARK,7655,1413,Yarra Ranges,80.0,1360.0,874500.0,18998,-0.08811015797137553,11.902754970191824,22.584797978217484,137.83323256747627,4.749078231498244
MORDIALLOC,2949,2322,Kingston,76.0,1492.0,1228700.0,24045,0.32822322004541554,13.189875359395135,18.095479772024046,155.06450270774417,4.771539555693943
MULGRAVE,7213,1477,Monash,60.0,1348.0,1022600.0,22093,-0.1259586468819929,12.014276313808649,22.281433607916128,148.6371420607918,4.759598291902064
MURRUMBEENA,2947,2728,Glen Eira,64.0,1287.0,1574000.0,30031,-0.31835513217763123,13.625166108782576,18.092557360143484,173.29454694248173,4.786980223291202
NEWPORT,5240,1816,Hobsons Bay,74.0,1626.0,1197100.0,14791,0.7508646795473095,12.542819355542175,20.706697955017987,121.61825520866512,4.769871119789353
NIDDRIE,2198,1140,Moonee Valley,69.0,1204.0,1148000.0,13979,-0.5801405138094013,11.37106734571447,16.862722613388318,118.23282116231516,4.767171320953118
NORTHCOTE,8461,5349,Darebin,69.0,1563.0,1630800.0,21000,0.5521601127665683,15.543529899182081,23.102936278111105,144.9137674618944,4.789129656433564
NOTTING HILL,879,1125,Monash,48.0,962.0,1074100.0,18901,-1.3434183735068517,11.33873656129222,13.417643055257688,137.48090776540573,4.76283611666078
NUNAWADING,4033,2270,Whitehorse,70.0,1202.0,1171100.0,20796,-0.5864485952945042,13.129403324816804,19.48337705353413,144.20818284688286,4.7684583525460695
OAKLEIGH,3155,1636,Monash,65.0,1340.0,1301400.0,16280,-0.15119097282240448,12.274077692708985,18.388162125128915,127.59310326189265,4.77519055767323
OAKLEIGH EAST,2245,1315,Monash,65.0,1340.0,1185500.0,16280,-0.15119097282240448,11.723127371862276,16.94926711083961,127.59310326189265,4.769245388946168
ORMOND,2378,2357,Glen Eira,72.0,1538.0,1746300.0,17630,0.47330909420278217,13.229915347816648,17.18639112223952,132.77801022759755,4.793236569006716
PARKDALE,4160,2433,Kingston,76.0,1492.0,1341800.0,24045,0.32822322004541554,13.315102158572444,19.62520941552677,155.06450270774417,4.777115545330172
PARKVILLE,1058,2943,Melbourne,71.0,1480.0,1849500.0,6692,0.29037473113479817,13.833192474714885,14.068583997313624,81.80464534487024,4.796640252911802
PASCOE VALE,6167,3475,Moreland,73.0,1283.0,943200.0,21429,-0.330971295147837,14.295910675302455,21.49789162007281,146.38647478507022,4.754203782042562
PLENTY,703,79,Nillumbik,83.0,2215.0,1668900.0,1529,2.608594676910112,5.839565298917925,12.66173698331764,39.102429592034305,4.790521871254744
POINT COOK,23338,1855,Wyndham,77.0,1470.0,843900.0,36356,0.2588343237092837,12.597962890353681,28.92587592236375,190.67249408344142,4.746637734451611
PRAHRAN,4230,8324,Stonnington,66.0,1560.0,1706800.0,17776,0.542697990538914,16.89564315378773,19.701878211450563,133.32666649999166,4.791869559747558
