suburb,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population
CLAYTON SOUTH,4011,2549,Kingston,44%,"$1,116","$927,200",19027
COBURG,10323,4557,Moreland,63%,"$1,268","$1,129,500",29021
COBURG NORTH,3269,947,Moreland,63%,"$1,268","$909,700",29021
COLLINGWOOD,2122,4470,Yarra,60%,"$1,278","$1,275,000",5113
COOLAROO,1300,237,Hume,57%,$867,"$507,200",18590
CRAIGIEBURN,19933,1906,Hume,74%,"$1,349","$643,500",25491
CREMORNE,901,1028,Yarra,65%,"$1,731","$1,529,500",24112
CROYDON,9705,5573,Maroondah,81%,"$1,267","$902,900",37491
CROYDON NORTH,2487,783,Maroondah,81%,"$1,267","$1,020,800",37491
CROYDON SOUTH,1772,354,Maroondah,81%,"$1,267","$835,300",37491
DALLAS,2207,315,Hume,58%,$762,"$514,300",18510
DANDENONG,8074,9600,Greater Dandenong,48%,$899,"$685,100",45248
DANDENONG NORTH,7575,1845,Greater Dandenong,48%,$899,"$758,400",45248
DEER PARK,6436,1475,Brimbank,57%,"$1,423","$661,400",14107
DELAHEY,2193,541,Brimbank,64%,"$1,491","$648,400",27356
DIAMOND CREEK,3765,720,Nillumbik,88%,"$1,860","$983,500 ",10332
DONCASTER,7598,4243,Manningham,58%,"$1,242","$1,446,200",17447
DONCASTER EAST,9879,4060,Manningham,60%,"$1,356","$1,477,300",26080
DONVALE,4065,1346,Manningham,74%,"$1,614","$1,498,500",10274
DOVETON,3150,953,Casey,59%,$819,"$602,200",9801
EAGLEMONT,1441,442,Banyule,77%,"$1,551","$2,047,000",21826
ELSTERNWICK,3005,3427,Glen Eira,69%,"$1,497","$1,859,300",10824
ELTHAM,6040,1782,Nillumbik,85%,"$1,923","$1,178,700",28827
ELTHAM NORTH,2175,118,Nillumbik,85%,"$1,923","$1,227,100",28827
ELWOOD,3628,8403,Port Phillip,72%,"$1,715","$1,874,000",12829
EPPING,13368,3047,Whittlesea,73%,"$1,283","$673,200",19624
ESSENDON,6869,5592,Moonee Valley,81%,"$1,571","$1,550,000",22442
ESSENDON WEST,543,204,Moonee Valley,81%,"$1,571","$1,154,400",22442
EUMEMMERRING,610,489,Casey,59%,$819,"$668,900",9801
FAIRFIELD,2113,1694,Darebin,73%,"$1,538","$1,615,300",9227
FAWKNER,4754,1266,Moreland,53%,$865,"$745,500",12899
FITZROY,3147,5530,Yarra,63%,"$1,483","$1,568,000",9007
FLEMINGTON,1877,3086,Moonee Valley,62%,"$1,401","$1,069,400",14523
FOOTSCRAY,5286,6864,Maribyrnong,49%,"$1,181","$869,400",16926
FOREST HILL,3743,1715,Whitehorse,70%,"$1,202","$1,170,300",20796
GARDENVALE,298,384,Glen Eira,69%,"$1,497","$1,491,600",10824
GLEN IRIS,7727,5128,Boroondara,77%,"$1,965","$1,995,800",18622
GLENROY,7882,4021,Moreland,66%,"$1,004","$743,900",27707
GOWANBRAE,651,337,Moreland,65%,"$1,150","$919,100",16710
GREENSBOROUGH,7426,2533,Banyule,83%,"$1,524","$984,000",26045
GREENVALE,6480,251,Hume,72%,"$1,730","$942,100",9120
HADFIELD,2326,712,Moreland,66%,"$1,004","$805,000",27707
HALLAM,3494,1290,Casey,56%,"$1,156","$724,000",9061
HAMPTON,4651,2612,Bayside,78%,"$1,653","$2,032,200",11231
HAMPTON EAST,1756,1349,Bayside,78%,"$1,653","$1,396,000",11231
HAWTHORN,5753,11459,Boroondara,72%,"$1,627","$2,103,800",19166
HEATHERTON,1014,463,Kingston,70%,"$1,752","$1,123,700",1371
HEATHMONT,3459,1027,Maroondah,80%,"$1,297","$1,083,000",16322
HEIDELBERG,2066,1742,Banyule,77%,"$1,551","$1,213,100",21826
HEIDELBERG HEIGHTS,2701,1386,Banyule,74%,$938,"$1,011,500",13096
HIGHETT,3939,2524,Bayside,73%,"$1,384","$1,355,400",9299
HILLSIDE,4717,798,Melton,64%,"$1,491","$867,300",27356
HUGHESDALE,2268,2190,Monash,65%,"$1,340","$1,374,600",16280
HUNTINGDALE,751,342,Monash,65%,"$1,340","$1,192,500",16280
IVANHOE,4147,2613,Banyule,77%,"$1,709","$1,560,600",14278
JACANA,860,147,Hume,58%,$762,"$577,100",18510
KEALBA,1111,142,Brimbank,46%,$907,"$704,200",54005
KEILOR,2226,442,Brimbank,76%,"$1,541","$1,047,100",6503
KENSINGTON,3940,4804,Melbourne,62%,"$1,401","$1,202,200",14523
KEW,8044,6097,Boroondara,73%,"$2,022","$2,332,200",21677
KEW EAST,2236,1007,Boroondara,73%,"$1,807","$1,989,100",7252
KEYSBOROUGH,9761,1578,Greater Dandenong,49%,"$1,253","$1,006,400",16492
KILSYTH,4209,1613,Yarra Ranges,82%,"$1,211","$813,100",12665
KILSYTH SOUTH,767,163,Maroondah,82%,"$1,211","$1,100,900",12665
KINGSBURY,1234,479,Darebin,69%,"$1,172","$813,800",24119
KINGSVILLE,1266,832,Maribyrnong,56%,"$1,162","$1,091,300",19978
