node,lat,lon
595594345,-37.8097121,144.9712061
595594346,-37.8099054,144.9705513
595594347,-37.8101376,144.9697646
595594348,-37.8101896,144.9695886
595594349,-37.8102909,144.9692455
595594350,-37.8104014,144.968871
595594351,-37.8106465,144.9680408
595594352,-37.810906,144.9671561
595594353,-37.8109951,144.9668493
595594354,-37.8111151,144.9664363
595594355,-37.8114272,144.9653618
595594357,-37.8117314,144.9643145
595594360,-37.8126246,144.9612396
595594361,-37.8127481,144.9608147
595594362,-37.8128823,144.9603524
595594363,-37.812935,144.9601711
595594365,-37.8131503,144.9594233
595594366,-37.8137433,144.9573643
595594367,-37.8138576,144.9569673
595594369,-37.8143577,144.955229
595594370,-37.8144545,144.9548937
595594371,-37.8144947,144.954754
122817669,-37.822214,144.9499179
35523908,-37.8005242,144.9558648
35523916,-37.8011933,144.9566989
35523917,-37.7997293,144.954878
598347137,-37.8139544,144.963645
598347148,-37.8140879,144.9632802
260907255,-37.8247719,145.0073524
35524096,-37.7988449,144.9537742
1449266727,-37.8161745,144.9838446
1449266733,-37.8160072,144.9824451
1449266728,-37.8165247,144.9870502
1449266736,-37.8165445,144.987228
387700302,-37.8200257,144.9669756
2190478922,-37.8161667,144.9639741
2190478926,-37.8141907,144.9630638
2190478928,-37.8162146,144.9641561
2190478930,-37.8151994,144.9636889
2190478932,-37.8162554,144.9640149
2190478934,-37.8152352,144.9635467
2190478936,-37.8142917,144.9631103
2190478940,-37.8171703,144.9645963
2190478937,-37.8172114,144.9644553
1449266782,-37.8163074,144.9851272
1449266796,-37.8163297,144.9852803
1449266802,-37.8164157,144.986035
277089909,-37.8075185,144.9706725
711331451,-37.8073656,144.9578064
1449266841,-37.8161748,144.9826365
4301655729,-37.8204078,145.0131858
560991951,-37.8208847,144.9474135
560991954,-37.8211331,144.9474792
774508242,-37.8063166,144.9593667
560991956,-37.8208969,144.9473712
560991962,-37.8211448,144.9474356
35524350,-37.7981012,144.9528279
356126466,-37.8191958,144.9875564
711331595,-37.8071494,144.9590725
1905004303,-37.8197216,144.9681685
1905004304,-37.8197302,144.9682523
1905004354,-37.8198488,144.9683212
6212685642,-37.8164624,144.9860256
222957430,-37.8070501,144.9908745
581701516,-37.8071185,144.9309042
356126633,-37.8191873,144.9876191
634785708,-37.8136776,144.9394374
634785744,-37.8139388,144.9395703
54398934,-37.8015158,144.9478034
356126764,-37.8192731,144.9885207
844501069,-37.821639,144.9450746
777916580,-37.8016728,144.9573532
6021320893,-37.8163922,144.9373381
6021320897,-37.8170173,144.9356863
581701844,-37.8074205,144.9292428
2960003290,-37.8180602,144.9668725
2960003295,-37.818423,144.9656354
636883225,-37.8234593,144.959651
356127080,-37.8174365,144.9887569
814816086,-37.8155355,144.9773808
767693486,-37.8044712,144.9736163
356127424,-37.8192255,144.9880473
767693506,-37.8045539,144.9736861
356127457,-37.8173966,144.988347
4746121967,-37.8120741,144.9744185
4746121968,-37.8123258,144.9735736
222958329,-37.8071388,144.9916771
54399741,-37.8022919,144.9496806
2183271187,-37.8067051,144.9627941
2183271188,-37.8067215,144.9629607
356127514,-37.8178009,144.9887597
1224872742,-37.8109419,144.9391187
356127550,-37.8178715,144.9893643
4460254041,-37.8025402,144.9456377
4460254046,-37.8025777,144.9456244
4460254047,-37.802897,144.9480927
4460254048,-37.8030878,144.9495381
1217532771,-37.8183272,144.9486386
1217532788,-37.8179153,144.9484878
332796790,-37.8085633,145.0001673
332796854,-37.8059414,144.9980461
332796855,-37.8070396,144.9985719
1217532870,-37.8180705,144.94879
153752520,-37.8227713,144.9775766
1217532913,-37.8183743,144.9486428
1217532917,-37.8184735,144.9486815
711332946,-37.8071621,144.9559662
332797041,-37.8085396,144.999884
579998842,-37.8068662,144.9387806
332797060,-37.8085998,145.0004766
127538409,-37.8038083,144.9969606
127538423,-37.8039424,145.0015395
266736903,-37.8182651,144.9756712
266736930,-37.8240695,144.9852628
266736950,-37.8177004,144.9747351
579999037,-37.8063063,144.9366014
266736957,-37.8161009,144.9726103
579999049,-37.806212,144.9353959
579999050,-37.8061632,144.9347763
266736979,-37.817907,144.9745568
4238873971,-37.8094359,144.9643648
4238873973,-37.8124315,144.9693672
3132495219,-37.8140628,144.9642958
581703032,-37.813801,144.9269992
579999137,-37.8059715,144.9340829
2133726644,-37.8119639,144.9456412
2133726646,-37.8119424,144.9456933
2133726647,-37.8117253,144.9453555
579999196,-37.8059927,144.9325098
934024695,-37.8045341,144.9875652
266737144,-37.8185148,144.9711063
579999252,-37.8061183,144.9342142
202774098,-37.8081468,144.9342466
